Date,Count,Japanese,Asian,Others,Unknown
Dec 2016,4696,1075,821,2617,183
Nov 2016,4585,1069,821,2617,78
Oct 2016,4323,1028,784,2511,0
Sep 2016,4023,975,726,2322,0
Aug 2016,3594,898,631,2065,0
Jul 2016,3232,859,554,1819,0
Jun 2016,2915,808,501,1606,0
May 2016,2770,773,470,1527,0
Apr 2016,2637,731,439,1467,0
Mar 2016,2480,697,401,1382,0
Feb 2016,2326,659,373,1294,0
Jan 2016,2101,584,341,1176,0
Dec 2015,1901,528,305,1068,0
Nov 2015,1778,485,285,1008,0
Oct 2015,1585,447,250,888,0
Sep 2015,1233,374,188,671,0
Aug 2015,904,293,139,472,0
Jul 2015,653,222,100,331,0
Jun 2015,424,146,55,223,0
May 2015,178,71,22,85,0
Apr 2015,0,0,0,0,0
Mar 2015,0,0,0,0,0
Feb 2015,0,0,0,0,0
Jan 2015,0,0,0,0,0
