Date,Day 0,Day 1,Day 7,Day 30,Day 60
Sat 14 Nov 2015,3,0,2,2,3
Sun 15 Nov 2015,3,0,0,2,2
Mon 16 Nov 2015,91,23,57,80,83
Tue 17 Nov 2015,97,17,54,74,82
Wed 18 Nov 2015,69,11,45,62,64
Thu 19 Nov 2015,67,11,36,56,58
Fri 20 Nov 2015,63,0,39,55,57
Sat 21 Nov 2015,0,0,0,0,0
Sun 22 Nov 2015,0,0,0,0,0
Mon 23 Nov 2015,74,24,53,65,67
Tue 24 Nov 2015,97,19,59,79,92
Wed 25 Nov 2015,80,24,55,67,72
Thu 26 Nov 2015,88,18,57,78,82
Fri 27 Nov 2015,65,0,35,56,61
Sat 28 Nov 2015,0,0,0,0,0
Sun 29 Nov 2015,2,0,1,2,2
Mon 30 Nov 2015,144,17,74,108,122
Tue  1 Dec 2015,70,9,38,51,54
Wed  2 Dec 2015,50,12,27,36,42
Thu  3 Dec 2015,52,11,39,45,49
Fri  4 Dec 2015,66,0,38,54,63
Sat  5 Dec 2015,0,0,0,0,0
Sun  6 Dec 2015,3,0,1,1,1
Mon  7 Dec 2015,78,19,46,63,71
Tue  8 Dec 2015,88,19,50,69,79
Wed  9 Dec 2015,66,17,42,55,60
Thu 10 Dec 2015,91,16,49,64,78
Fri 11 Dec 2015,72,0,43,50,56
Sat 12 Dec 2015,1,0,0,0,0
Sun 13 Dec 2015,1,0,1,1,1
Mon 14 Dec 2015,89,20,54,75,80
Tue 15 Dec 2015,90,17,49,72,81
Wed 16 Dec 2015,77,18,37,58,69
Thu 17 Dec 2015,67,17,29,59,64
Fri 18 Dec 2015,54,0,24,46,49
Sat 19 Dec 2015,1,0,0,0,0
Sun 20 Dec 2015,2,0,0,0,1
Mon 21 Dec 2015,66,17,25,54,59
Tue 22 Dec 2015,61,13,14,51,55
Wed 23 Dec 2015,43,0,0,35,42
Thu 24 Dec 2015,1,0,0,1,1
Fri 25 Dec 2015,0,0,0,0,0
Sat 26 Dec 2015,0,0,0,0,0
Sun 27 Dec 2015,0,0,0,0,0
Mon 28 Dec 2015,0,0,0,0,0
Tue 29 Dec 2015,0,0,0,0,0
Wed 30 Dec 2015,0,0,0,0,0
Thu 31 Dec 2015,0,0,0,0,0
Fri  1 Jan 2016,0,0,0,0,0
Sat  2 Jan 2016,0,0,0,0,0
Sun  3 Jan 2016,2,0,0,2,2
Mon  4 Jan 2016,70,24,44,60,64
Tue  5 Jan 2016,88,22,62,78,80
Wed  6 Jan 2016,64,16,39,54,56
Thu  7 Jan 2016,94,20,59,78,81
Fri  8 Jan 2016,92,0,54,75,80
Sat  9 Jan 2016,2,0,2,2,2
Sun 10 Jan 2016,1,0,1,1,1
Mon 11 Jan 2016,101,20,67,87,90
Tue 12 Jan 2016,82,25,53,71,73
Wed 13 Jan 2016,101,24,59,90,93
Thu 14 Jan 2016,97,25,67,87,91
Fri 15 Jan 2016,109,0,66,93,95
Sat 16 Jan 2016,0,0,0,0,0
Sun 17 Jan 2016,0,0,0,0,0
Mon 18 Jan 2016,95,25,58,81,83
Tue 19 Jan 2016,108,20,63,95,99
Wed 20 Jan 2016,87,24,47,79,80
Thu 21 Jan 2016,111,26,65,93,103
Fri 22 Jan 2016,78,0,41,64,73
Sat 23 Jan 2016,0,0,0,0,0
Sun 24 Jan 2016,2,1,2,2,2
Mon 25 Jan 2016,104,24,65,83,91
Tue 26 Jan 2016,96,25,61,82,85
Wed 27 Jan 2016,95,19,49,74,82
Thu 28 Jan 2016,86,12,44,71,78
Fri 29 Jan 2016,72,0,47,60,61
Sat 30 Jan 2016,0,0,0,0,0
Sun 31 Jan 2016,2,0,1,1,1
Mon  1 Feb 2016,100,26,65,88,93
Tue  2 Feb 2016,93,18,54,79,86
Wed  3 Feb 2016,91,22,58,76,77
Thu  4 Feb 2016,109,16,59,81,90
Fri  5 Feb 2016,80,0,47,67,68
Sat  6 Feb 2016,0,0,0,0,0
Sun  7 Feb 2016,2,0,0,1,1
Mon  8 Feb 2016,92,26,61,85,86
Tue  9 Feb 2016,101,32,63,90,93
Wed 10 Feb 2016,116,29,78,101,106
Thu 11 Feb 2016,109,24,66,92,100
Fri 12 Feb 2016,75,0,40,61,66
Sat 13 Feb 2016,0,0,0,0,0
Sun 14 Feb 2016,1,0,1,1,1
Mon 15 Feb 2016,114,26,74,98,100
Tue 16 Feb 2016,99,28,64,89,92
Wed 17 Feb 2016,109,32,73,92,98
Thu 18 Feb 2016,107,23,73,88,92
Fri 19 Feb 2016,74,0,44,61,63
Sat 20 Feb 2016,0,0,0,0,0
Sun 21 Feb 2016,1,0,0,1,1
Mon 22 Feb 2016,121,28,73,102,105
Tue 23 Feb 2016,111,33,73,96,101
Wed 24 Feb 2016,103,23,70,89,95
Thu 25 Feb 2016,101,18,56,82,87
Fri 26 Feb 2016,72,0,39,57,61
Sat 27 Feb 2016,1,0,0,0,0
Sun 28 Feb 2016,1,0,0,0,0
Mon 29 Feb 2016,103,26,60,88,92
Tue  1 Mar 2016,109,30,60,80,90
Wed  2 Mar 2016,101,23,63,87,93
Thu  3 Mar 2016,104,15,60,85,90
Fri  4 Mar 2016,69,0,49,63,63
Sat  5 Mar 2016,0,0,0,0,0
Sun  6 Mar 2016,2,0,2,2,2
Mon  7 Mar 2016,92,20,53,75,79
Tue  8 Mar 2016,97,25,66,82,90
Wed  9 Mar 2016,104,34,62,85,94
Thu 10 Mar 2016,108,17,64,88,98
Fri 11 Mar 2016,72,1,43,56,63
Sat 12 Mar 2016,1,0,1,1,1
Sun 13 Mar 2016,2,0,0,2,2
Mon 14 Mar 2016,106,29,65,87,97
Tue 15 Mar 2016,108,25,69,87,95
Wed 16 Mar 2016,80,19,42,60,70
Thu 17 Mar 2016,99,19,68,84,90
Fri 18 Mar 2016,81,0,33,63,67
Sat 19 Mar 2016,1,0,1,1,1
Sun 20 Mar 2016,1,0,0,1,1
Mon 21 Mar 2016,87,23,35,70,77
Tue 22 Mar 2016,92,18,42,79,83
Wed 23 Mar 2016,62,10,29,51,54
Thu 24 Mar 2016,67,0,30,54,58
Fri 25 Mar 2016,1,0,0,1,1
Sat 26 Mar 2016,0,0,0,0,0
Sun 27 Mar 2016,0,0,0,0,0
Mon 28 Mar 2016,2,0,1,2,2
Tue 29 Mar 2016,72,22,52,67,69
Wed 30 Mar 2016,104,22,53,80,84
Thu 31 Mar 2016,95,12,53,79,82
Fri  1 Apr 2016,70,0,38,59,63
Sat  2 Apr 2016,0,0,0,0,0
Sun  3 Apr 2016,4,0,2,4,4
Mon  4 Apr 2016,107,22,58,85,91
Tue  5 Apr 2016,80,23,55,69,72
Wed  6 Apr 2016,98,18,57,82,88
Thu  7 Apr 2016,80,8,41,60,63
Fri  8 Apr 2016,59,0,31,52,55
Sat  9 Apr 2016,0,0,0,0,0
Sun 10 Apr 2016,2,0,2,2,2
Mon 11 Apr 2016,80,20,53,74,75
Tue 12 Apr 2016,102,17,62,81,87
Wed 13 Apr 2016,81,20,54,70,75
Thu 14 Apr 2016,84,15,54,76,79
Fri 15 Apr 2016,70,1,40,62,65
Sat 16 Apr 2016,1,0,1,1,1
Sun 17 Apr 2016,1,0,1,1,1
Mon 18 Apr 2016,107,19,74,92,94
Tue 19 Apr 2016,95,15,57,82,87
Wed 20 Apr 2016,108,22,69,90,96
Thu 21 Apr 2016,101,12,52,83,88
Fri 22 Apr 2016,83,0,45,65,68
Sat 23 Apr 2016,0,0,0,0,0
Sun 24 Apr 2016,7,2,5,6,6
Mon 25 Apr 2016,116,33,60,98,100
Tue 26 Apr 2016,103,26,64,89,93
Wed 27 Apr 2016,96,26,53,80,86
Thu 28 Apr 2016,89,15,55,75,80
Fri 29 Apr 2016,96,0,43,79,86
Sat 30 Apr 2016,1,0,0,1,1
Sun  1 May 2016,2,0,2,2,2
Mon  2 May 2016,5,0,4,4,4
Tue  3 May 2016,92,24,63,79,84
Wed  4 May 2016,93,24,54,78,81
Thu  5 May 2016,91,24,62,80,84
Fri  6 May 2016,78,0,50,67,72
Sat  7 May 2016,0,0,0,0,0
Sun  8 May 2016,2,0,2,2,2
Mon  9 May 2016,87,23,56,74,77
Tue 10 May 2016,112,26,71,100,105
Wed 11 May 2016,101,23,62,89,93
Thu 12 May 2016,90,18,49,77,80
Fri 13 May 2016,91,0,53,76,82
Sat 14 May 2016,2,0,1,2,2
Sun 15 May 2016,1,0,1,1,1
Mon 16 May 2016,91,24,65,85,87
Tue 17 May 2016,91,15,52,74,77
Wed 18 May 2016,110,20,57,88,94
Thu 19 May 2016,88,17,52,74,79
Fri 20 May 2016,76,0,47,66,69
Sat 21 May 2016,1,0,1,1,1
Sun 22 May 2016,1,1,1,1,1
Mon 23 May 2016,100,26,57,86,89
Tue 24 May 2016,100,29,62,86,93
Wed 25 May 2016,90,21,56,80,81
Thu 26 May 2016,87,15,49,75,77
Fri 27 May 2016,79,0,45,64,73
Sat 28 May 2016,0,0,0,0,0
Sun 29 May 2016,1,0,1,1,1
Mon 30 May 2016,2,0,1,1,1
Tue 31 May 2016,123,29,60,100,107
Wed  1 Jun 2016,112,34,76,99,103
Thu  2 Jun 2016,96,25,59,86,90
Fri  3 Jun 2016,93,0,55,79,84
Sat  4 Jun 2016,0,0,0,0,0
Sun  5 Jun 2016,1,0,0,0,0
Mon  6 Jun 2016,72,23,50,67,70
Tue  7 Jun 2016,90,25,56,71,77
Wed  8 Jun 2016,117,27,80,94,103
Thu  9 Jun 2016,89,21,57,76,81
Fri 10 Jun 2016,80,0,52,67,68
Sat 11 Jun 2016,0,0,0,0,0
Sun 12 Jun 2016,3,1,3,3,3
Mon 13 Jun 2016,111,20,69,97,101
Tue 14 Jun 2016,102,19,57,89,93
Wed 15 Jun 2016,101,26,63,83,89
Thu 16 Jun 2016,108,18,64,91,96
Fri 17 Jun 2016,72,0,35,55,58
Sat 18 Jun 2016,0,0,0,0,0
Sun 19 Jun 2016,3,1,2,3,3
Mon 20 Jun 2016,132,23,72,108,116
Tue 21 Jun 2016,78,18,45,67,69
Wed 22 Jun 2016,96,5,56,79,84
Thu 23 Jun 2016,21,5,14,18,19
Fri 24 Jun 2016,55,0,38,47,48
Sat 25 Jun 2016,0,0,0,0,0
Sun 26 Jun 2016,5,1,4,5,5
Mon 27 Jun 2016,104,29,62,95,98
Tue 28 Jun 2016,89,26,54,79,82
Wed 29 Jun 2016,98,23,51,81,88
Thu 30 Jun 2016,87,17,46,76,81
Fri  1 Jul 2016,95,0,53,79,84
Sat  2 Jul 2016,0,0,0,0,0
Sun  3 Jul 2016,1,0,0,1,1
Mon  4 Jul 2016,89,24,48,69,78
Tue  5 Jul 2016,94,18,55,80,82
Wed  6 Jul 2016,78,18,51,70,70
Thu  7 Jul 2016,77,12,44,59,65
Fri  8 Jul 2016,80,0,42,65,71
Sat  9 Jul 2016,0,0,0,0,0
Sun 10 Jul 2016,3,0,2,3,3
Mon 11 Jul 2016,105,19,66,87,91
Tue 12 Jul 2016,92,11,44,74,79
Wed 13 Jul 2016,100,12,46,79,82
Thu 14 Jul 2016,73,20,46,65,65
Fri 15 Jul 2016,85,0,52,69,73
Sat 16 Jul 2016,1,0,1,1,1
Sun 17 Jul 2016,1,0,1,1,1
Mon 18 Jul 2016,100,23,59,82,85
Tue 19 Jul 2016,80,18,51,68,73
Wed 20 Jul 2016,116,26,71,97,99
Thu 21 Jul 2016,116,22,68,91,96
Fri 22 Jul 2016,91,0,50,77,82
Sat 23 Jul 2016,3,0,2,2,2
Sun 24 Jul 2016,1,0,0,1,1
Mon 25 Jul 2016,105,33,72,89,94
Tue 26 Jul 2016,109,20,65,91,95
Wed 27 Jul 2016,108,20,59,89,94
Thu 28 Jul 2016,101,23,55,79,88
Fri 29 Jul 2016,101,0,62,83,89
Sat 30 Jul 2016,0,0,0,0,0
Sun 31 Jul 2016,0,0,0,0,0
Mon  1 Aug 2016,97,21,57,81,88
Tue  2 Aug 2016,109,18,65,91,99
Wed  3 Aug 2016,93,21,53,76,81
Thu  4 Aug 2016,100,23,52,68,76
Fri  5 Aug 2016,98,0,54,78,84
Sat  6 Aug 2016,0,0,0,0,0
Sun  7 Aug 2016,2,0,1,2,2
Mon  8 Aug 2016,105,29,64,88,92
Tue  9 Aug 2016,97,30,65,82,85
Wed 10 Aug 2016,113,19,56,89,96
Thu 11 Aug 2016,94,19,50,71,75
Fri 12 Aug 2016,89,0,47,72,75
Sat 13 Aug 2016,0,0,0,0,0
Sun 14 Aug 2016,4,2,3,4,4
Mon 15 Aug 2016,103,33,67,92,96
Tue 16 Aug 2016,112,22,63,85,89
Wed 17 Aug 2016,108,31,61,80,86
Thu 18 Aug 2016,115,32,75,92,99
Fri 19 Aug 2016,107,0,55,87,95
Sat 20 Aug 2016,1,0,1,1,1
Sun 21 Aug 2016,3,0,2,2,3
Mon 22 Aug 2016,108,25,52,92,98
Tue 23 Aug 2016,95,22,49,77,81
Wed 24 Aug 2016,101,20,50,81,87
Thu 25 Aug 2016,105,16,60,88,95
Fri 26 Aug 2016,64,0,37,53,56
Sat 27 Aug 2016,0,0,0,0,0
Sun 28 Aug 2016,0,0,0,0,0
Mon 29 Aug 2016,1,0,1,1,1
Tue 30 Aug 2016,119,32,74,96,104
Wed 31 Aug 2016,102,31,74,95,100
Thu  1 Sep 2016,110,17,63,89,95
Fri  2 Sep 2016,100,0,52,74,79
Sat  3 Sep 2016,1,0,1,1,1
Sun  4 Sep 2016,1,0,1,1,1
Mon  5 Sep 2016,145,32,75,117,127
Tue  6 Sep 2016,102,30,59,87,89
Wed  7 Sep 2016,135,32,79,97,104
Thu  8 Sep 2016,93,19,49,80,82
Fri  9 Sep 2016,100,1,61,84,88
Sat 10 Sep 2016,1,0,1,1,1
Sun 11 Sep 2016,2,0,1,2,2
Mon 12 Sep 2016,115,27,75,99,103
Tue 13 Sep 2016,105,26,67,86,91
Wed 14 Sep 2016,126,24,76,104,109
Thu 15 Sep 2016,104,19,58,78,88
Fri 16 Sep 2016,123,0,60,88,104
Sat 17 Sep 2016,0,0,0,0,0
Sun 18 Sep 2016,1,1,1,1,1
Mon 19 Sep 2016,131,34,73,108,117
Tue 20 Sep 2016,131,31,76,103,113
Wed 21 Sep 2016,122,27,79,102,106
Thu 22 Sep 2016,106,26,60,82,86
Fri 23 Sep 2016,112,1,66,96,99
Sat 24 Sep 2016,4,0,2,2,3
Sun 25 Sep 2016,4,0,3,4,4
Mon 26 Sep 2016,128,39,73,102,108
Tue 27 Sep 2016,148,40,86,120,128
Wed 28 Sep 2016,123,32,76,98,99
Thu 29 Sep 2016,124,33,73,96,102
Fri 30 Sep 2016,108,0,77,94,97
Sat  1 Oct 2016,1,0,1,1,1
Sun  2 Oct 2016,3,1,2,2,3
Mon  3 Oct 2016,130,41,87,111,116
Tue  4 Oct 2016,136,30,92,116,120
Wed  5 Oct 2016,127,27,67,98,107
Thu  6 Oct 2016,125,25,80,101,107
Fri  7 Oct 2016,114,0,69,96,102
Sat  8 Oct 2016,0,0,0,0,0
Sun  9 Oct 2016,5,1,4,4,4
Mon 10 Oct 2016,142,48,101,129,134
Tue 11 Oct 2016,149,33,102,130,136
Wed 12 Oct 2016,130,25,85,117,123
Thu 13 Oct 2016,132,26,70,110,117
Fri 14 Oct 2016,124,1,76,97,105
Sat 15 Oct 2016,1,0,1,1,1
Sun 16 Oct 2016,5,1,1,5,5
Mon 17 Oct 2016,145,43,97,124,127
Tue 18 Oct 2016,145,37,86,119,130
Wed 19 Oct 2016,115,38,82,102,104
Thu 20 Oct 2016,145,25,86,108,115
Fri 21 Oct 2016,118,0,66,103,109
Sat 22 Oct 2016,2,0,0,0,0
Sun 23 Oct 2016,1,0,0,0,0
Mon 24 Oct 2016,150,41,102,131,137
Tue 25 Oct 2016,144,28,87,124,129
Wed 26 Oct 2016,144,26,90,116,126
Thu 27 Oct 2016,128,26,80,104,108
Fri 28 Oct 2016,103,0,69,87,92
Sat 29 Oct 2016,2,0,2,2,2
Sun 30 Oct 2016,3,2,2,3,3
Mon 31 Oct 2016,146,46,102,132,134
Tue  1 Nov 2016,156,35,94,130,137
Wed  2 Nov 2016,155,43,103,134,141
Thu  3 Nov 2016,132,31,92,111,113
Fri  4 Nov 2016,122,0,83,103,107
Sat  5 Nov 2016,1,0,0,1,1
Sun  6 Nov 2016,6,2,6,6,6
Mon  7 Nov 2016,158,33,96,132,133
Tue  8 Nov 2016,132,27,77,103,105
Wed  9 Nov 2016,149,30,86,122,123
Thu 10 Nov 2016,137,29,79,112,118
Fri 11 Nov 2016,124,0,72,97,99
Sat 12 Nov 2016,0,0,0,0,0
Sun 13 Nov 2016,5,2,3,3,4
Mon 14 Nov 2016,169,38,105,136,137
Tue 15 Nov 2016,141,31,86,112,113
Wed 16 Nov 2016,140,30,90,120,120
Thu 17 Nov 2016,128,25,77,108,108
Fri 18 Nov 2016,121,0,66,96,96
Sat 19 Nov 2016,0,0,0,0,0
Sun 20 Nov 2016,8,2,5,8,8
Mon 21 Nov 2016,160,41,101,134,134
Tue 22 Nov 2016,119,38,81,98,98
Wed 23 Nov 2016,142,30,82,116,116
Thu 24 Nov 2016,102,15,62,82,82
Fri 25 Nov 2016,113,0,67,92,92
Sat 26 Nov 2016,0,0,0,0,0
Sun 27 Nov 2016,4,1,3,4,4
Mon 28 Nov 2016,134,44,91,112,112
Tue 29 Nov 2016,142,32,91,114,114
Wed 30 Nov 2016,134,32,85,106,106
Thu  1 Dec 2016,116,37,84,97,97
Fri  2 Dec 2016,137,0,79,99,99
Sat  3 Dec 2016,0,0,0,0,0
Sun  4 Dec 2016,5,1,3,3,3
Mon  5 Dec 2016,154,41,94,114,114
Tue  6 Dec 2016,152,36,87,95,95
Wed  7 Dec 2016,124,31,73,81,81
Thu  8 Dec 2016,123,27,76,82,82
Fri  9 Dec 2016,108,0,65,65,65
Sat 10 Dec 2016,0,0,0,0,0
Sun 11 Dec 2016,8,3,7,7,7
Mon 12 Dec 2016,158,44,86,86,86
Tue 13 Dec 2016,137,32,65,65,65
Wed 14 Dec 2016,122,31,48,48,48
Thu 15 Dec 2016,125,26,26,26,26
Fri 16 Dec 2016,103,0,0,0,0
Sat 17 Dec 2016,0,0,0,0,0
Sun 18 Dec 2016,0,0,0,0,0
